Country,Year,Status,Life_expectancy,Adult_Mortality,infant_deaths,Alcohol,percentage_expenditure,Hepatitis_B,Measles,BMI,under_five_deaths,Polio,Total_expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness__1_19_years,thinness_5_9_years,Income_composition_of_resources,Schooling,Disease_Name,Disease_Category,Prevalence_Rate_(%),Incidence_Rate_(%),Mortality_Rate_(%),Age_Group,Gender,Population_Affected,Healthcare_Access_(%),Doctors_per_1000,Hospital_Beds_per_1000,Treatment_Type,Average_Treatment_Cost_(USD),Availability_of_Vaccines/Treatment,Recovery_Rate_(%),DALYs,Improvement_in_5_Years_(%),Per_Capita_Income_(USD),Education_Index,Urbanization_Rate_(%),age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca,thal,target
India,2006,Developing,64.8,28.0,1500,1.37,34.85942671,6.0,64185,13.9,2000,66.0,4.25,65.0,0.3,792.259698,1161977719.0,27.1,28.0,0.536,9.7,Hypertension,Infectious,17.36,5.11,5.68,36-60,Male,639906,61.55,4.11,2.8,Surgery,16543,No,62.62,435,9.77,44202,0.67,79.05,50,1,2,140,233,0,1,163,0,0.6,1,1,3,0
France,2010,Developing,81.3,86.0,3,11.7,72.8001211,65.0,5048,6.1,3,99.0,11.2,99.0,0.1,473.34279,6527512.0,0.6,0.6,0.879,16.0,Alzheimer's Disease,Metabolic,1.21,12.67,9.28,36-60,Other,120961,52.01,4.89,7.9,Medication,28310,Yes,64.36,1780,4.72,56235,0.63,88.76,44,1,1,120,263,0,1,173,0,0.0,2,0,3,1
India,2007,Developing,65.2,26.0,1400,1.59,5.234770324,6.0,41144,14.4,1900,67.0,4.23,64.0,0.3,118.166373,1179681239.0,27.1,28.0,0.546,9.9,Leprosy,Autoimmune,12.69,4.32,7.76,36-60,Female,596879,64.58,3.08,4.16,Therapy,13357,Yes,63.29,1391,7.84,98644,0.65,22.43,48,1,0,130,256,1,0,150,1,0.0,2,2,3,0
Saudi Arabia,2005,Developing,73.1,11.0,9,0.05,1117.048134,97.0,373,6.2,10,96.0,3.42,96.0,0.1,13739.82945,12753375.120052494,7.2,7.3,0.761,12.4,Polio,Respiratory,17.09,5.03,3.59,36-60,Male,18318,76.12,1.26,3.59,Therapy,43878,Yes,80.3,297,9.99,29744,0.42,63.11,39,0,2,138,220,0,1,152,0,0.0,1,0,2,1
Nigeria,2014,Developing,53.6,362.0,490,0.01,263.2111031,49.0,6855,24.7,759,49.0,3.67,49.0,3.9,3221.678128,1764652.0,1.1,9.9,0.521,10.0,Malaria,Cardiovascular,6.42,0.25,7.23,36-60,Other,287600,85.11,0.93,5.58,Medication,43725,No,53.78,2753,7.58,74782,0.5,22.7,39,0,2,138,220,0,1,152,0,0.0,1,0,2,1
Indonesia,2008,Developing,67.7,189.0,149,0.07,10.26341108,82.0,15369,21.3,181,83.0,2.81,77.0,0.2,216.52766,236159276.0,1.7,1.7,0.641,11.7,Parkinson's Disease,Genetic,3.41,4.63,9.23,36-60,Female,396863,53.46,3.54,6.65,Medication,42000,Yes,67.09,2471,2.97,68971,0.61,85.38,45,0,0,138,236,0,0,152,1,0.2,1,0,2,1
Brazil,2013,Developing,74.7,146.0,46,7.24,916.270845,96.0,220,54.5,52,96.0,8.48,97.0,0.1,12216.9446,2248632.0,2.8,2.7,0.734,14.2,Asthma,Metabolic,13.24,14.71,8.1,36-60,Male,211099,97.02,2.59,8.63,Vaccination,16147,No,65.88,577,2.7,45025,0.56,87.18,51,1,0,140,299,0,1,173,1,1.6,2,0,3,0
Canada,2008,Developing,87.0,74.0,2,8.3,8433.936814,28.0,62,63.0,2,89.0,1.3,92.0,0.1,46596.33599,33245773.0,0.5,0.4,0.897,15.8,Asthma,Infectious,9.42,3.48,6.66,36-60,Other,744351,80.79,4.48,2.0,Therapy,1024,Yes,81.71,2250,6.33,76752,0.9,23.74,55,0,1,132,342,0,1,166,0,1.2,2,0,2,1
Nigeria,2009,Developing,51.6,376.0,527,9.05,14.5676468,63.0,1272,21.6,832,66.0,4.24,63.0,4.9,197.661422,15442181.0,11.7,11.6,0.487,9.3,Malaria,Viral,6.83,10.03,5.99,61+,Male,625752,64.64,4.83,8.26,Therapy,2198,No,91.85,1303,9.1,83096,0.79,61.23,67,1,0,125,254,1,1,163,0,0.2,1,2,3,0
South Africa,2001,Developing,56.0,429.0,52,7.38,365.2585722,72.0,1166,4.9,76,71.0,8.31,71.0,24.0,2681.781,45312937.0,15.4,18.1,0.629,13.0,Parkinson's Disease,Parasitic,4.62,0.48,7.26,36-60,Other,767131,59.57,1.28,2.97,Surgery,21618,Yes,58.56,2606,5.26,29520,0.57,40.19,59,1,2,150,212,1,1,157,0,1.6,2,0,2,1
Germany,2014,Developed,89.0,69.0,2,11.03,941.7562909,88.0,443,61.9,3,94.0,11.3,95.0,0.1,4792.65288,89825.0,1.1,1.1,0.92,17.0,Hypertension,Parasitic,7.69,0.24,3.17,36-60,Other,209895,77.65,4.33,0.81,Vaccination,13057,No,59.09,3182,3.51,69159,0.84,58.91,46,1,1,101,197,1,1,156,0,0.0,2,0,3,1
Germany,2011,Developed,85.0,74.0,2,11.2,869.790735,88.0,1607,6.4,3,94.0,1.93,95.0,0.1,4681.32796,8274983.0,1.1,1.1,0.912,16.8,Diabetes,Parasitic,11.33,6.67,4.13,36-60,Female,939906,65.75,1.63,9.96,Surgery,12152,Yes,96.59,1211,3.77,58786,0.43,58.65,57,0,1,130,236,0,0,174,0,0.0,1,1,2,0
Japan,2004,Developed,82.1,68.0,3,7.7,6746.281299,80.94046121593291,8752,23.8,4,97.0,8.3,99.0,0.1,37688.72234,127761.0,1.7,1.4,0.866,14.8,Asthma,Neurological,0.37,2.6,4.06,61+,Other,876045,92.36,1.79,9.26,Vaccination,31119,Yes,64.74,2964,3.54,98529,0.88,58.16,70,1,2,160,269,0,1,112,1,2.9,1,1,3,0
Canada,2002,Developing,79.5,79.0,2,7.7,3895.856308,80.94046121593291,6,59.3,2,88.0,9.37,88.0,0.1,24167.8431,31362.0,0.5,0.4,0.872,15.8,Measles,Respiratory,11.65,8.15,1.32,19-35,Male,393745,73.66,4.53,4.78,Medication,16047,Yes,93.25,3675,6.04,23065,0.42,40.95,35,1,0,126,282,0,0,156,1,0.0,2,0,3,0
Brazil,2009,Developing,73.6,157.0,57,7.33,564.5233902,99.0,0,51.1,64,99.0,8.65,99.0,0.1,8553.3847,194895996.0,3.0,2.9,0.714,13.8,Leprosy,Cardiovascular,0.35,4.56,7.57,36-60,Female,259265,53.72,4.95,4.02,Therapy,31651,No,77.66,2959,2.53,23519,0.67,44.79,48,0,2,130,275,0,1,139,0,0.2,2,0,2,1
France,2010,Developing,81.3,86.0,3,11.7,72.8001211,65.0,5048,6.1,3,99.0,11.2,99.0,0.1,473.34279,6527512.0,0.6,0.6,0.879,16.0,Malaria,Bacterial,0.79,2.38,2.63,36-60,Other,485700,96.72,3.63,4.17,Surgery,42841,Yes,92.22,1072,1.42,61340,0.4,72.64,59,1,3,134,204,0,1,162,0,0.8,2,2,2,0
Saudi Arabia,2005,Developing,73.1,11.0,9,0.05,1117.048134,97.0,373,6.2,10,96.0,3.42,96.0,0.1,13739.82945,12753375.120052494,7.2,7.3,0.761,12.4,Tuberculosis,Respiratory,5.3,14.3,6.99,36-60,Male,601852,70.24,2.26,8.96,Medication,10991,No,83.74,1705,4.27,44406,0.82,46.71,57,1,2,128,229,0,0,150,0,0.4,1,1,3,0
China,2007,Developing,74.4,96.0,285,3.88,312.6624819,92.0,109023,25.7,332,94.0,4.32,93.0,0.1,2695.366223,1317885.0,4.7,4.1,0.659,11.4,Malaria,Autoimmune,14.97,10.85,7.65,36-60,Female,202187,59.39,0.98,3.54,Medication,26122,Yes,73.36,3607,9.82,63453,0.77,29.16,53,1,0,142,226,0,0,111,1,0.0,2,0,3,1
Mexico,2012,Developing,76.3,123.0,33,5.29,112.696486,99.0,0,61.5,38,99.0,6.21,99.0,0.1,982.532572,1282837.0,1.6,1.5,0.748,12.7,Hypertension,Bacterial,19.78,9.27,0.42,36-60,Male,831202,71.45,0.87,7.58,Surgery,38282,No,74.22,1775,5.38,60960,0.58,52.7,41,1,1,135,203,0,1,132,0,0.0,1,0,1,1
Australia,2008,Developed,81.3,66.0,1,10.76,8547.292357,94.0,65,62.9,1,92.0,8.78,92.0,0.1,49664.6854,212492.0,0.7,0.6,0.921,19.1,Leprosy,Genetic,12.06,10.44,2.25,19-35,Female,143593,96.54,1.21,2.81,Medication,16815,Yes,92.28,1862,1.01,7602,0.75,55.11,34,1,3,118,182,0,0,174,0,0.0,2,0,2,1
Australia,2004,Developed,86.0,69.0,1,9.84,588.568371,95.0,70,6.9,1,92.0,8.57,92.0,0.1,3472.37977,21274.0,0.7,0.6,0.908,20.7,Cholera,Bacterial,4.9,5.07,4.6,36-60,Other,65870,65.37,4.27,5.08,Medication,8669,Yes,71.45,4999,5.73,88953,0.62,82.71,60,1,0,130,206,0,0,132,1,2.4,1,2,3,0
Brazil,2008,Developing,73.4,158.0,61,7.21,526.3780636,96.0,0,5.3,68,99.0,8.24,99.0,0.1,8787.61375,19297929.0,3.0,3.0,0.704,13.3,Leprosy,Viral,11.26,8.06,1.2,61+,Female,764460,75.52,3.81,7.45,Therapy,30832,No,51.17,4430,3.82,8190,0.75,50.48,61,1,0,140,207,0,0,138,1,1.9,2,1,3,0
Argentina,2003,Developing,74.1,137.0,11,7.62,57.58467352,73.0,0,55.7,13,95.0,8.22,96.0,0.1,333.4376,3839379.0,1.2,1.0,0.77,16.4,Tuberculosis,Cardiovascular,6.73,1.07,1.77,19-35,Other,74652,95.02,4.35,1.62,Therapy,34115,Yes,82.61,3405,8.87,55374,0.81,58.36,35,1,1,122,192,0,1,174,0,0.0,2,0,2,1
Canada,2010,Developing,81.2,7.0,2,8.4,8649.674911,56.0,99,64.1,2,88.0,11.2,89.0,0.1,47447.4762,345274.0,0.5,0.4,0.898,15.9,Measles,Bacterial,1.47,12.94,7.02,61+,Other,327683,78.08,4.32,0.93,Vaccination,41009,No,78.05,4852,0.87,41244,0.87,49.95,61,1,0,140,207,0,0,138,1,1.9,2,1,3,0
Germany,2010,Developed,81.0,76.0,2,11.2,7584.078579,88.0,780,59.9,3,94.0,11.25,95.0,0.1,41785.55691,8177693.0,1.1,1.1,0.907,16.7,Asthma,Bacterial,13.43,3.15,6.29,61+,Female,956959,98.42,1.47,6.47,Medication,23893,Yes,83.83,3734,1.55,72712,0.74,45.17,64,1,0,145,212,0,0,132,0,2.0,1,2,1,0
Japan,2012,Developed,83.3,58.0,2,7.39,121.5869163,80.94046121593291,228,27.8,3,99.0,1.17,97.0,0.1,4863.47665,127629.0,1.9,1.7,0.889,15.3,Measles,Metabolic,17.35,10.66,8.49,36-60,Other,941661,85.58,3.2,5.08,Therapy,1721,No,87.67,3910,9.81,18479,0.54,68.16,58,1,0,150,270,0,0,111,1,0.8,2,0,3,0
Brazil,2003,Developing,71.8,172.0,88,6.95,15.85781237,97.0,2,46.1,100,99.0,6.94,99.0,0.1,359.587582,182482149.0,3.3,3.3,0.699,14.8,Parkinson's Disease,Neurological,10.7,14.8,4.85,36-60,Other,130011,96.83,1.2,5.8,Surgery,37535,No,93.31,4113,9.81,58741,0.62,58.2,43,1,0,132,247,1,0,143,1,0.1,1,4,3,0
France,2010,Developing,81.3,86.0,3,11.7,72.8001211,65.0,5048,6.1,3,99.0,11.2,99.0,0.1,473.34279,6527512.0,0.6,0.6,0.879,16.0,Parkinson's Disease,Cardiovascular,4.06,8.62,5.58,61+,Male,754305,63.81,3.2,3.02,Therapy,40143,Yes,91.45,1389,7.96,27046,0.53,54.75,65,0,2,160,360,0,0,151,0,0.8,2,0,2,1
Australia,2009,Developed,81.7,66.0,1,10.62,7172.275229,94.0,104,63.4,1,92.0,9.5,92.0,0.1,42742.99898,216917.0,0.7,0.6,0.925,19.1,Zika,Viral,14.3,5.1,6.63,36-60,Female,724915,85.67,3.8,7.09,Medication,12714,No,75.92,4719,1.06,87631,0.89,36.53,60,0,0,150,258,0,0,157,0,2.6,1,2,3,0
Germany,2004,Developed,79.1,86.0,3,11.83,5842.374765,88.0,121,57.1,3,96.0,1.37,96.0,0.1,34165.9343,8251626.0,1.1,1.1,0.877,16.4,Ebola,Bacterial,1.3,14.22,6.76,36-60,Male,282869,53.86,4.83,3.76,Therapy,36641,Yes,84.3,2251,1.69,84626,0.87,88.06,51,1,0,140,298,0,1,122,1,4.2,1,3,3,0
Nigeria,2013,Developing,53.2,367.0,498,8.3,194.2032879,46.0,52852,24.1,773,46.0,3.7,46.0,3.9,2996.96432,17182933.0,1.4,1.2,0.514,9.8,Measles,Respiratory,4.37,10.37,8.01,61+,Female,802255,75.37,0.65,5.84,Therapy,38266,Yes,79.62,4018,7.66,1577,0.71,73.55,71,0,0,112,149,0,1,125,0,1.6,1,0,2,1
Turkey,2004,Developing,72.0,132.0,33,1.35,1.132766775,77.0,8927,56.8,39,85.0,5.37,85.0,0.1,64.72953,677855.0,5.1,4.9,0.675,12.0,Measles,Bacterial,0.31,8.68,9.64,36-60,Female,424933,99.56,2.02,0.66,Vaccination,29090,No,60.06,3001,2.28,50340,0.59,45.03,49,0,0,130,269,0,1,163,0,0.0,2,0,2,1
Germany,2011,Developed,85.0,74.0,2,11.2,869.790735,88.0,1607,6.4,3,94.0,1.93,95.0,0.1,4681.32796,8274983.0,1.1,1.1,0.912,16.8,Diabetes,Parasitic,11.33,6.67,4.13,36-60,Female,939906,65.75,1.63,9.96,Surgery,12152,Yes,96.59,1211,3.77,58786,0.43,58.65,56,1,1,120,240,0,1,169,0,0.0,0,0,2,1
Indonesia,2014,Developing,68.9,179.0,119,0.09,200.0684443,78.0,12943,26.5,142,8.0,2.85,78.0,0.3,3491.595887,255131116.0,1.4,1.2,0.682,12.9,Rabies,Viral,17.2,3.61,4.39,61+,Male,380459,61.75,3.09,4.11,Surgery,26520,No,67.44,95,5.05,89106,0.8,34.45,67,1,0,160,286,0,0,108,1,1.5,1,3,2,0
Mexico,2013,Developing,76.6,12.0,32,5.23,150.408875,82.0,0,62.1,37,83.0,6.3,83.0,0.1,1298.86766,122535969.0,1.6,1.5,0.753,12.9,HIV/AIDS,Metabolic,4.91,12.89,1.46,36-60,Other,967319,99.74,2.15,5.88,Surgery,42120,No,54.92,466,7.93,46504,0.83,83.03,51,0,0,130,305,0,1,142,1,1.2,1,0,3,0
Mexico,2005,Developing,75.3,126.0,42,4.93,998.3498049,98.0,6,56.4,49,98.0,6.4,98.0,0.1,7986.798439,18472228.0,1.8,1.7,0.719,12.2,Polio,Parasitic,4.03,4.91,8.38,36-60,Female,183701,53.83,4.86,8.0,Therapy,34774,Yes,65.05,4771,3.29,95579,0.48,36.69,47,1,0,112,204,0,1,143,0,0.1,2,0,2,1
Japan,2012,Developed,83.3,58.0,2,7.39,121.5869163,80.94046121593291,228,27.8,3,99.0,1.17,97.0,0.1,4863.47665,127629.0,1.9,1.7,0.889,15.3,Alzheimer's Disease,Autoimmune,18.39,12.78,9.7,61+,Male,776227,83.48,4.96,9.41,Vaccination,46380,Yes,93.25,1538,4.8,60030,0.43,20.45,69,1,3,160,234,1,0,131,0,0.1,1,1,2,1
Turkey,2011,Developing,74.5,114.0,20,1.53,1275.877569,96.0,111,62.8,23,97.0,5.29,97.0,0.1,11341.13395,7349455.0,4.9,4.7,0.737,13.8,Alzheimer's Disease,Respiratory,7.47,6.4,2.04,36-60,Other,303199,99.18,1.81,8.48,Therapy,8392,No,51.96,2987,2.61,74997,0.89,37.28,60,0,3,150,240,0,1,171,0,0.9,2,0,2,1
Australia,2004,Developed,86.0,69.0,1,9.84,588.568371,95.0,70,6.9,1,92.0,8.57,92.0,0.1,3472.37977,21274.0,0.7,0.6,0.908,20.7,Hypertension,Metabolic,6.51,7.75,8.56,36-60,Other,143036,87.13,3.98,5.36,Therapy,27938,No,72.75,1575,8.97,2864,0.63,35.31,45,1,0,115,260,0,0,185,0,0.0,2,0,2,1
India,2007,Developing,65.2,26.0,1400,1.59,5.234770324,6.0,41144,14.4,1900,67.0,4.23,64.0,0.3,118.166373,1179681239.0,27.1,28.0,0.546,9.9,Malaria,Parasitic,19.89,11.88,0.93,36-60,Male,616362,88.5,3.48,6.53,Therapy,41914,Yes,72.11,2650,4.12,72374,0.89,85.07,60,0,2,120,178,1,1,96,0,0.0,2,0,2,1
Australia,2002,Developed,79.9,73.0,1,9.84,46.3871819,95.0,32,59.6,2,92.0,8.39,92.0,0.1,281.81763,196514.0,0.7,0.7,0.902,20.1,Asthma,Respiratory,19.29,5.13,9.97,36-60,Female,94263,85.73,4.5,9.94,Therapy,1176,No,69.04,565,7.42,69789,0.82,42.4,57,1,1,154,232,0,0,164,0,0.0,2,1,2,0
Japan,2005,Developed,82.0,69.0,3,7.99,6799.664423,80.94046121593291,0,24.4,4,95.0,8.18,98.0,0.1,37217.64873,127773.0,1.7,1.5,0.87,14.9,Tuberculosis,Parasitic,8.41,5.84,9.25,61+,Male,514124,98.38,2.58,6.69,Medication,16226,No,80.32,1714,1.69,50275,0.75,86.94,67,0,2,115,564,0,0,160,0,1.6,1,0,3,1
Indonesia,2006,Developing,67.3,191.0,159,0.06,72.0159316,66.0,20422,19.7,194,78.0,2.91,72.0,0.1,1586.254,22983822.0,1.8,1.8,0.632,10.9,Dengue,Parasitic,17.98,12.64,4.79,36-60,Male,450527,54.91,0.82,5.31,Therapy,2041,No,96.91,1160,8.65,68672,0.76,80.1,46,1,1,101,197,1,1,156,0,0.0,2,0,3,1
Japan,2010,Developed,83.0,62.0,3,6.9,863.0061491,80.94046121593291,450,26.9,4,98.0,9.58,97.0,0.1,4457.67639,1287.0,1.9,1.6,0.879,15.1,Asthma,Cardiovascular,18.67,0.89,4.47,36-60,Male,51396,65.42,3.28,7.57,Therapy,38846,Yes,58.45,150,2.76,76300,0.75,83.36,57,0,0,120,354,0,1,163,1,0.6,2,0,2,1
Nigeria,2003,Developing,48.1,41.0,567,9.75,30.19550849,80.94046121593291,141258,18.3,918,42.0,4.5,29.0,5.4,512.65719,131972533.0,13.5,13.6,0.0,8.1,Leprosy,Respiratory,15.05,7.57,8.77,36-60,Other,322095,89.5,3.99,3.93,Vaccination,23074,Yes,85.54,2387,0.67,91545,0.58,53.01,52,1,3,118,186,0,0,190,0,0.0,1,0,1,1
Argentina,2004,Developing,74.7,13.0,11,7.63,719.3663797,81.0,0,56.3,12,91.0,6.84,98.0,0.1,4251.574348,38728696.0,1.1,1.0,0.775,16.3,Hypertension,Autoimmune,7.5,5.8,7.75,36-60,Female,637352,68.67,0.52,7.53,Surgery,41756,Yes,86.98,1757,5.96,87799,0.45,73.25,56,1,1,120,236,0,1,178,0,0.8,2,0,2,1
France,2004,Developing,82.0,94.0,3,13.18,5291.234786,35.0,4448,57.0,4,99.0,1.53,98.0,0.1,33874.74255,6274897.0,0.6,0.6,0.857,15.5,Ebola,Bacterial,7.12,4.29,5.84,36-60,Male,417889,85.43,1.7,5.01,Medication,9887,Yes,51.23,1952,7.27,90130,0.76,37.24,53,0,0,138,234,0,0,160,0,0.0,2,0,2,1
Saudi Arabia,2003,Developing,73.0,13.0,9,0.05,832.3688708,95.0,1208,58.5,11,95.0,4.2,95.0,0.1,9567.458285,12753375.120052494,7.2,7.3,0.747,12.2,Diabetes,Cardiovascular,10.33,5.54,9.88,19-35,Male,508492,54.23,0.86,9.42,Surgery,23392,No,83.75,3605,7.42,82956,0.75,47.93,35,0,0,138,183,0,1,182,0,1.4,2,0,2,1
Indonesia,2013,Developing,68.7,181.0,124,0.09,22.8478308,85.0,8419,25.6,148,86.0,2.93,85.0,0.3,362.663981,25232263.0,1.5,1.3,0.677,12.9,Cholera,Chronic,13.82,1.8,6.62,36-60,Other,294786,62.59,3.92,4.19,Therapy,45286,No,81.48,2552,4.5,42240,0.45,21.5,43,0,2,122,213,0,1,165,0,0.2,1,0,2,1
Italy,2006,Developed,81.2,65.0,2,8.44,473.1915451,96.0,439,58.8,2,97.0,8.82,96.0,0.1,3341.7482,58143979.0,0.5,0.5,0.856,16.0,Cholera,Viral,6.73,5.7,7.17,36-60,Other,6154,84.49,0.64,7.91,Medication,34669,Yes,64.24,1447,5.52,65265,0.5,28.26,47,1,2,108,243,0,1,152,0,0.0,2,0,2,0
Japan,2007,Developed,82.6,67.0,3,7.29,6599.995239,80.94046121593291,0,25.4,4,97.0,8.25,98.0,0.1,35275.22843,1281.0,1.8,1.5,0.877,15.0,Hypertension,Chronic,18.87,7.59,8.17,36-60,Other,540086,70.13,4.64,5.38,Therapy,4848,No,50.38,4273,5.9,26707,0.86,72.98,44,1,2,140,235,0,0,180,0,0.0,2,0,2,1
Germany,2000,Developed,78.0,95.0,3,12.91,4238.540035,84.0,0,55.1,4,94.0,1.1,9.0,0.1,23718.7467,8221158.0,1.2,1.2,0.855,16.2,Hypertension,Neurological,14.44,12.57,9.56,61+,Other,64894,68.34,3.77,3.05,Vaccination,29816,Yes,93.68,4516,0.8,51693,0.66,52.45,63,1,0,140,187,0,0,144,1,4.0,2,2,3,0
Indonesia,2011,Developing,68.3,185.0,134,0.08,211.8783404,81.0,21893,23.8,161,81.0,2.71,81.0,0.3,3634.27685,24577511.0,1.6,1.5,0.662,12.3,Diabetes,Neurological,0.65,12.68,9.64,36-60,Female,976076,79.82,1.35,6.74,Medication,134,No,69.54,4648,2.24,60597,0.65,85.91,43,1,0,120,177,0,0,120,1,2.5,1,0,3,0
India,2014,Developing,68.0,184.0,957,3.07,86.52153895,79.0,79563,18.1,1200,84.0,4.69,85.0,0.2,1573.11889,1293859294.0,26.8,27.4,0.607,11.6,Leprosy,Bacterial,6.56,7.46,4.71,61+,Other,80341,61.26,2.49,4.9,Medication,29306,Yes,91.73,3821,6.48,19518,0.47,85.1,63,1,3,145,233,1,0,150,0,2.3,0,0,1,1
Australia,2004,Developed,86.0,69.0,1,9.84,588.568371,95.0,70,6.9,1,92.0,8.57,92.0,0.1,3472.37977,21274.0,0.7,0.6,0.908,20.7,Rabies,Infectious,11.84,13.48,1.74,36-60,Male,230774,95.09,3.66,5.03,Vaccination,21158,Yes,68.64,2962,0.91,14698,0.7,84.39,58,1,2,112,230,0,0,165,0,2.5,1,1,3,0
Nigeria,2009,Developing,51.6,376.0,527,9.05,14.5676468,63.0,1272,21.6,832,66.0,4.24,63.0,4.9,197.661422,15442181.0,11.7,11.6,0.487,9.3,Cholera,Cardiovascular,9.6,12.09,8.17,61+,Male,89765,86.52,1.52,1.59,Medication,31254,Yes,62.3,2779,8.0,46508,0.75,70.01,67,1,0,125,254,1,1,163,0,0.2,1,2,3,0
India,2004,Developing,64.0,214.0,1600,1.2,27.33800857,6.0,55443,13.0,2100,58.0,4.22,63.0,0.3,621.3183767,1126135777.0,27.2,28.2,0.518,9.2,Cholera,Autoimmune,11.32,2.37,4.11,36-60,Other,907113,93.79,2.41,2.1,Therapy,37958,No,71.76,674,6.16,48826,0.57,63.6,58,1,0,125,300,0,0,171,0,0.0,2,2,3,0
Brazil,2004,Developing,72.0,17.0,81,6.85,186.6090485,96.0,0,46.9,93,99.0,7.7,99.0,0.1,3623.47667,184738458.0,3.2,3.2,0.695,14.0,COVID-19,Genetic,14.82,14.38,6.57,36-60,Female,939047,76.09,3.35,3.95,Vaccination,30663,No,61.92,4628,1.29,53252,0.63,45.02,59,1,0,170,326,0,0,140,1,3.4,0,0,3,0
Canada,2002,Developing,79.5,79.0,2,7.7,3895.856308,80.94046121593291,6,59.3,2,88.0,9.37,88.0,0.1,24167.8431,31362.0,0.5,0.4,0.872,15.8,Tuberculosis,Infectious,12.06,5.36,1.37,61+,Male,11058,65.28,4.43,2.42,Surgery,41835,Yes,96.91,4952,0.62,52452,0.71,24.84,67,0,2,115,564,0,0,160,0,1.6,1,0,3,1
Germany,2005,Developed,79.2,85.0,3,11.67,6012.92584,9.0,778,57.6,3,95.0,1.52,96.0,0.1,34696.6292,82469422.0,1.1,1.1,0.884,16.4,Zika,Chronic,14.3,2.02,5.16,36-60,Other,963278,62.86,1.81,2.36,Medication,40002,Yes,91.91,4533,0.43,81430,0.68,74.53,60,1,0,117,230,1,1,160,1,1.4,2,2,3,0
France,2004,Developing,82.0,94.0,3,13.18,5291.234786,35.0,4448,57.0,4,99.0,1.53,98.0,0.1,33874.74255,6274897.0,0.6,0.6,0.857,15.5,Measles,Genetic,3.6,1.53,6.63,36-60,Other,253061,52.56,4.2,3.64,Surgery,1892,No,82.71,241,8.63,79795,0.74,32.37,53,1,2,130,197,1,0,152,0,1.2,0,0,2,1
Saudi Arabia,2009,Developing,73.4,97.0,8,0.09,117.9227998,98.0,82,63.1,10,98.0,4.9,98.0,0.1,1694.2931,12753375.120052494,7.3,7.3,0.787,13.0,Tuberculosis,Infectious,15.18,5.85,4.92,36-60,Male,755418,91.76,2.14,6.7,Surgery,20468,Yes,85.76,900,6.15,69456,0.86,60.89,59,1,1,140,221,0,1,164,1,0.0,2,0,2,1
Nigeria,2006,Developing,49.8,396.0,549,9.66,10.35779424,27.0,704,19.9,879,46.0,3.66,4.0,5.3,119.743286,14261494.0,12.6,12.6,0.466,9.0,Leprosy,Genetic,5.5,9.16,3.33,61+,Male,80746,52.81,2.47,1.84,Medication,16761,Yes,69.88,4021,3.69,71999,0.75,38.33,71,0,2,110,265,1,0,130,0,0.0,2,1,2,1
Australia,2001,Developed,79.9,75.0,1,9.53,3064.301144,94.0,141,59.0,2,91.0,8.18,92.0,0.1,19517.84168,19413.0,0.7,0.7,0.899,20.5,Parkinson's Disease,Metabolic,10.99,11.65,3.48,36-60,Other,552995,61.07,3.86,7.36,Medication,29403,No,69.07,2724,3.73,67872,0.87,54.0,42,0,2,120,209,0,1,173,0,0.0,1,0,2,1
Saudi Arabia,2003,Developing,73.0,13.0,9,0.05,832.3688708,95.0,1208,58.5,11,95.0,4.2,95.0,0.1,9567.458285,12753375.120052494,7.2,7.3,0.747,12.2,Parkinson's Disease,Bacterial,7.42,12.07,9.56,61+,Male,420939,84.51,0.66,1.22,Surgery,29160,No,92.6,1231,4.56,86662,0.84,61.74,66,1,0,160,228,0,0,138,0,2.3,2,0,1,1
China,2011,Developing,75.2,91.0,215,5.63,91.26749779,99.0,9943,29.0,251,99.0,5.3,99.0,0.1,5633.79616,134413.0,4.1,3.5,0.7,12.8,Alzheimer's Disease,Chronic,9.32,10.61,3.87,61+,Male,197790,97.97,4.21,5.12,Surgery,12603,No,89.04,4485,7.98,67211,0.48,41.99,68,1,2,118,277,0,1,151,0,1.0,2,1,3,1
Saudi Arabia,2003,Developing,73.0,13.0,9,0.05,832.3688708,95.0,1208,58.5,11,95.0,4.2,95.0,0.1,9567.458285,12753375.120052494,7.2,7.3,0.747,12.2,Polio,Viral,1.11,0.36,6.81,36-60,Female,26862,58.04,2.83,9.95,Medication,36421,Yes,59.06,1139,9.17,23033,0.51,30.58,41,0,1,130,204,0,0,172,0,1.4,2,0,2,1
Mexico,2003,Developing,75.0,127.0,46,4.88,781.2062828,98.0,44,54.9,55,98.0,6.2,98.0,0.1,6751.998987,1564453.0,1.9,1.8,0.708,11.9,Alzheimer's Disease,Viral,15.38,13.55,0.61,36-60,Female,505428,61.43,4.65,5.13,Surgery,3878,Yes,94.53,1157,5.29,80383,0.41,64.99,44,0,2,108,141,0,1,175,0,0.6,1,0,2,1
Argentina,2004,Developing,74.7,13.0,11,7.63,719.3663797,81.0,0,56.3,12,91.0,6.84,98.0,0.1,4251.574348,38728696.0,1.1,1.0,0.775,16.3,Parkinson's Disease,Chronic,11.27,12.91,4.88,19-35,Other,280309,73.52,1.84,9.44,Vaccination,24011,Yes,62.86,4317,3.75,83337,0.51,71.49,35,1,0,126,282,0,0,156,1,0.0,2,0,3,0
